,EN SOURCE TXT,Korean
118,Commercial-Free Summer,광고 없는 여름
119,Analysis and Commentar,분석 및 해설
120,BREAKING: CNN NOW{0}COMMERCIAL-FREE.{0}LISTEN LIVE.,속보: 이제 CNN을{0}광고 없이 즐기세요.{0}본방을 바로 들어보세요.
121,"Stay up-to-date with the latest coronavirus news with live coverage from local stations and networks like CNN, MSNBC, BBC, and Fox News Talk.","지역 방송국과 CNN, MSNBC, BBC, Fox 뉴스 토크와 같은 뉴스 방송국에서 라이브로 제공되는 최신 코로나 바이러스 뉴스를 통해 최신 정보를 파악하세요."
122,Playback will stop after swiping to close the app,앱을 밀어서 닫은 후에는 재생이 정지됩니다
123,CELEBRATING{0}PRIDE IN PLACE.{0}LISTEN OUTLOUD.,자부심 되찾기를{0}기념하며.{0}큰 소리로 청취하세요.
124,OLD SCHOOL JAMS.{0}FRESH FAVORITES.{0}NO COMMERCIALS.,올드스쿨 명곡.{0}신선한 인기곡.{0}광고가 없습니다.
125,We are sorry! This offer is not valid in your country.,죄송합니다! 해당 특가는 귀하의 국가에는 적용되지 않습니다.
126,New Podcasts For June,6월의 새 팟캐스트
127,George Floyd Protests,조지 플로이드 시위
128,Updates From Local Stations,지역 방송국 소식
129,Podcasts to Educate Yourself,독학을 위한 팟캐스트
130,Live National Coverage,생방송 전국 뉴스
131,Your Local News Stations,계신 지역 뉴스 방송국
132,Profile Tab with easy access to Settings & other features,손쉽게 설정 및 기타 기능을 이용할 수 있는 프로필 탭
133,About TuneIn,TuneIn 소개
134,Edit Profile,프로필 수정
135,Go Back,뒤로가기
136,Profile,프로필
137,Profile Header image,프로필 헤더 이미지
138,Right Caret,오른쪽 캐럿
139,Skip,건너뛰기
140,Start Listening Now,지금 청취 시작
141,You see and hear fewer ads when listening to your favorite stations.,즐겨찾는 방송국을 청취할 때 나타나는 광고가 줄었습니다.
142,Less Ads,더욱 줄어든 광고
143,Anime Music,애니메이션 뮤직
144,New On TuneIn,TuneIn 신규
145,Episodes You'll Love,좋아하실 만한 에피소드
146,Podcasts For New Grads,새 졸업생을 위한 팟캐스트
147,Graduation 2020,2020년 졸업
148,Graduating During The Outbreak,코로나 유행 시기의 졸업
149,Home Interest Selection,홈 인터레스트 특선
150,"Hear MSNBC, FOX News Talk, and more entirely commercial-free.","전체적으로 광고가 사라진 MSNBC, Fox 뉴스 토크 등을 들으세요."
151,Popular Podcasts in Your Area,사용자 지역 인기 팟캐스트
152,RECENTS,최근 항목
153,Local Music Stations,지역 음악 방송국
154,GAME REPLAYS.{0}RELIVE THE ACTION.{0}HEAR THE HISTORY.,경기 재방송.{0}다시 보는 액션.{0}역사를 들어보세요.
155,Tap here to explore TuneIn Premium,여기를 탭해서 알아보세요 TuneIn Premium
156,News,뉴스
157,Sports,스포츠
158,Basketball,농구
159,Hockey,하키
160,Talk,토크
161,Tech Talk,테크 토크
162,Podcasts,팟캐스트
163,Coronavirus News,코로나 바이러스 뉴스
164,Live Music Podcasts,라이브 뮤직 팟캐스트
165,Stations to Get You Dancing,춤을 추게 해드리는 방송국
166,Music,음악
167,Popular In Sports,스포츠 분야 인기 방송
168,Top Sports Talk Stations,탑 스포츠 토크 방송국
169,This Week's Top Sports Podcasts,이번 주의 탑 스포츠 팟캐스트
170,Top Sports Talk Shows,탑 스포츠 토크쇼
171,International Sports Talk,인터네셔널 스포츠 토크
172,Top NFL Podcasts,탑 NFL 팟캐스트
173,The World Of Wrestling,레슬링의 세계
174,Top MLB Podcasts,탑 MLB 팟캐스트
175,Top NBA Podcasts,탑 NBA 팟캐스트
176,Latin Music,라틴 음악
177,Featured Latin Stations,특선 라틴 음악
178,Listen Commercial-Free,광고 없이 들으세요
179,Latin Music Podcasts,라틴 음악 팟캐스트
180,Music Criticism,음악 비평
181,Morning Shows,아침 방송
182,Dance Party,댄스 파티
183,Throwback Jams,추억의 명연주
184,Dance Commercial-Free,광고 없는 댄스
185,Today's Live Games,오늘의 라이브 경기
186,Moods and Activities,기분과 활동
187,Country,컨트리
188,Today's Top Hits,오늘의 탑 히트곡
189,Top Music Genres,탑 뮤직 장르
190,Live Sports. No Blackouts.,라이브 스포츠. 방송 중단 사태가 없습니다.
191,"Hear the live home call of every single NFL, NBA, MLB and NHL game.","NFL, NBA, MLB 및 NHL의 매 경기를 집에서 라이브로 들어보세요."
192,Breaking news. No commercials.,최신 뉴스. 광고가 없습니다.
193,"Hear MSNBC, FOX News Talk, and CNBC entirely commercial-free.","MSNBC, FOX News Talk 및 CNBC를 광고 없이 들으세요."
194,Nonstop music.,논스톱 음악.
195,50 exclusive music channels to soundtrack your every mood and activity.,청취자의 다양한 기분과 활동을 살려줄 50개의 독점 음악 채널 .
196,"Every NFL, MLB, NBA & NHL game with no blackouts. Commercial-free news from CNBC, FOX News Talk, & MSNBC. Plus 50 commercial-free music channels and less ads on 100K radio stations.","방송 중단 없이 즐기는 NFL, MLB, NBA 및 NHL의 모든 경기. 광고 없이 듣는 CNBC, FOX News Talk 및 MSNBC의 뉴스. 이와 더불어 광고 없는 50개의 음악 채널과 광고가 적은 라디오 방송국 십만 가지."
197,"Get commercial-free CNBC, FOX News Talk, & MSNBC. Every NFL, MLB, NBA & NHL game with no blackouts. Plus 50 commercial-free music channels and less ads on 100K radio stations.","CNBC, FOX News Talk 및 MSNBC를 광고 없이 들으세요. NFL, MLB, NBA 및 NHL의 매 경기를 방송 중단 없이 즐기세요. 이와 더불어 광고 없는 50개의 음악 채널과 광고가 적은 라디오 방송국 십만 가지를 이용할 수 있습니다."
198,Start Listening Now,지금 듣기 시작
199,CELEBRATE CINCO{0}WITH THE BEST IN{0}REGIONAL MEXICAN.,최고의 멕시코 IN{0}REGIONAL CINCO{0}WITH을(를) 축하해요.
200,CELEBRA EL CINCO{0}CON LO MEJOR DEL{0}REGIONAL MEXICANO.,CELEBRA EL CINCO{0}CON LO MEJOR DEL{0}REGIONAL MEXICANO.
201,THE BIGGEST HITS{0}OF EVERY DECADE.{0}COMMERCIAL-FREE.,연대별 최고의 HITS{0}OF.{0}광고 없음.
202,CELEBRATE CINCO{0}WITH THE BEST IN{0}REGIONAL MEXICAN.,최고의 멕시코 IN{0}REGIONAL CINCO{0}WITH을(를) 축하해요.
203,GO PREMIUM,프리미엄으로 전환
204,Go Back,돌아가기
205,"Help us suggest the best radio stations, live events and on-demand audio for you.","최고의 라디오 방송국, 라이브 이벤트 및 주문형 오디오를 추천해드릴 수 있도록 도와주세요."
206,Select Your Listening Preferences,청취 기본 설정 선택
207,Premium is not available while you're offline. Please connect to the internet and try again.,오프라인 상태에서는 프리미엄을 사용할 수 없습니다. 인터넷에 연결한 후 다시 시도하세요.
208,Please enter a valid 4 digit birth year in a YYYY format,YYYY 형식으로 유효한 4자리 출생연도를 입력하세요
209,Create Your Account,계정 만들기
210,Enjoy a seamless experience across devices and personalized recommendations based on your listening. (It only takes 30 seconds),여러 장치에서 번거로움 없이 즐길 수 있습니다. 청취 행동을 기반으로 개인화된 추천 기능도 이용해보세요.
211,"We're sorry, an error has occurred. Please try again.",죄송합니다. 오류가 발생했습니다. 다시 시도해주세요.
212,Please try again.,다시 시도해주세요.
213,Invalid Credentials,잘못된 자격 증명
214,"Make sure Wi-Fi or cellular data is turned on, then try again.",Wi-Fi 또는 셀룰러 데이터가 켜져 있는지 확인 후 다시 시도해주세요.
215,Could not connect,연결할 수 없습니다
216,Please allow %@ to share your email so we can create your account.,계정을 만들려면 %@이(가) 이메일을 공유하도록 허용해주세요.
217,Forgot your password?,암호를 잊어버렸습니까?
218,Prefer not to say,말하지 않겠습니다
219,1 number or special character,1자리 숫자 또는 특수 문자
220,At least 8 characters,8자 이상
221,Remember me,기억
222,Please check your email for reset instructions.,재설정 지침은 이메일을 확인하세요.
223,Password reset,암호 재설정
224,Enter your email and we will send a link to reset your password.,이메일을 입력하면 암호를 재설정할 수 있는 링크가 전송됩니다.
225,Enter email and set password,이메일을 입력하고 비밀번호를 설정하세요
226,Step %d of %d,단계 %d/%d
227,Link Your Account,계정 연결
228,Have an Alexa? Listen with Premium!,Alexa가 있습니까? 프리미엄으로 들어보세요!
229,Finish!,완료!
230,Remember to sign in on all your devices to keep track of your listening everywhere you go.,어디에서든 청취 행동을 추적할 수 있도록 모든 장치에서 로그인하는 것을 잊지 마세요.
231,Go Premium!,프리미엄으로 전환!
232,"Every NFL, MLB, NBA & NHL game. Commercial-free news and music.","NFL, MLB, NBA 및 NHL의 모든 경기. 광고 없이 듣는 뉴스 및 음악."
233,You’re In!,가입되었습니다!
234,By creating an account you agree to the following,계정을 만들면 다음에 동의합니다
235,Year of Birth YYYY,생년월일 YYYY
236,Email Address,이메일 주소
237,Customize Your Experience!,개인화된 경험을 즐겨보세요!
238,"Ad-Free MSNBC, CNBC, FOX News Talk{{linebreak/}},    50+ Commercial-Free Music Channels{{linebreak/}}, Less Ads on AM/FM        ","광고가 없는 MSNBC, CNBC, FOX News Talk{{linebreak/}}, 광고가 없는 50+ 음악 채널{{linebreak/}}, 광고가 적은 AM/FM"
239,"Ad-Free MSNBC, FOX News Talk and More{{linebreak/}}, 50+ Channels of Commercial-Free Music{{linebreak/}}, Less Ads on 100K Radio Stations","광고가 없는 MSNBC, FOX News Talk 등{{linebreak/}}, 광고가 없는 50+ 음악 채널{{linebreak/}}, 광고가 적은 십만여 라디오 방송국"
240,Discover everything TuneIn Premium has to offer. {{monthlytrial/}} days risk-free. {{monthlyprice/}}/mo after. Auto-renewable subscription. Cancel anytime!,TuneIn 프리미엄의 모든 혜택을 발견해보세요. 위험 없이 즐기는 {{monthlytrial/}}일. 이후 {{monthlyprice/}}/월. 자동 갱신되는 구독. 언제든 취소할 수 있습니다!
241,Unlock the full experience with TuneIn Premium. {{monthlytrial/}} days risk-free. {{monthlyprice/}}/mo auto-renewable subscription after. Cancel anytime!,TuneIn 프리미엄으로 전 기능을 즐기세요. 위험 없이 즐기는 {{monthlytrial/}}일. 이후 {{monthlyprice/}}/월의 가격으로 자동 갱신되는 구독. 언제든 취소할 수 있습니다!
242,Failed to retrieve profile,프로필을 가져오지 못했습니다
243,Failed to retrieve subscription key,구독 키를 가져오지 못했습니다
244,Failed to unsubscribe,구독을 취소하지 못했습니다.
245,An error occurred. Please try again.,오류가 발생했습니다. 다시 시도하세요.
246,Oops… something went wrong.,앗... 문제가 발생했습니다.
247,TuneIn Premium is a recurring subscription. You will automatically be billed the amount listed above through iTunes. Your subscription will auto-renew unless you cancel or turn off auto-renew at least 24 hours before the end of the current period. You can manage your subscription in iTunes.,"""TuneIn Premium은 정기 구독입니다. iTunes를 통해 위에 명시된 금액이 자동으로 청구됩니다. 현재 기간이 종료되기 최소 24시간 전에 자동 갱신을 취소하거나 끄지 않으면 구독이 자동으로 갱신됩니다. 구독은 iTunes에서 관리할 수 있습니다."""
248,Explore {0} Podcasts,{0} 팟캐스트 살펴보기
249,Stations,방송국
250,Commercial-Free Music: Top 40,광고 없는 음악: 상위 40
251,Commercial-Free Music: Rock,광고 없는 음악: 록
252,Commercial-Free Music: Country,광고 없는 음악: 컨트리
253,Commercial-Free Music: Decades,광고 없는 음악: 십 년 단위로 보는 음악
254,Commercial-Free Music: Jazz,광고 없는 음악: 재즈
255,Ad-Free Music,광고 없는 음악
256,"Stay up-to-date with the latest coronavirus news with live 24/7 coverage from local stations and top networks like CNN, MSNBC and BBC, in addition to podcasts, music and talk radio to keep you informed and entertained throughout the outbreak","24시간 내내 실시간으로 제공하는 지역 방송 및 CNN, MSNBC, BBC 등 최고의 네트워크를 통해 최신 코로나바이러스 뉴스를 청취하세요. 코로나19 유행 기간 중에도 팟캐스트와 음악, 토크 라디오로 정보와 재미를 놓치지 마세요."
257,Bug fixes : Empty notification issue,버그 수정: 빈 알림 문제
258,Feature improvements,기능 개선
259,Improved device auto-locking when browsing,브라우징 시 기기 자동 잠금 기능 개선
260,ONE WORLD:{0}TOGETHER AT HOME.{0}LISTEN LIVE.,하나의 세계:{0}모두 함께 집에서.{0}생방송으로 들으세요.
261,Help us suggest the best audio for you.,최고의 오디오를 제안해 드릴 수 있도록 도와주세요.
262,Skip,건너뛰기
263,Start Listening,청취 시작
264,Select Some of Your Interests,관심사를 골라보세요
265,Clear Recent Searches,최근 검색 삭제
266,"Start your search for sports, music, news, podcasts and radio stations from around the world.","전 세계의 스포츠, 음악, 뉴스, 팟캐스트 및 라디오 방송국 검색을 시작해 보세요."
267,What do you want to hear?,어떤 방송을 들으시겠습니까?
268,Recent Searches,최근 검색
269,MLB - Perfect Games and No-Hitters,MLB - 퍼펙트 및 노히트 경기
270,New & Noteworthy,신규 및 주목할만한 방송
271,Podcasts For Social Distancing,사회적 거리두기를 위한 팟캐스트
272,Happy Hour Music,해피아워 뮤직
273,Together At Home,모두 함께 집에서
274,Cooking Podcasts,요리 팟캐스트
275,NFL Draft Podcasts,NFL 드래프트 팟캐스트
276,Dismiss,취소
277,Please try again.,다시 시도하세요.
278,"Oops, something went wrong!","이런, 문제가 발생했습니다!"
279,Skip,건너뛰기
280,Start Listening,청취 시작
281,Help us suggest the best audio for you.,최고의 오디오를 추천해 드릴 수 있도록 도와 주세요.
282,Select Some of Your Interests,관심사를 선택하세요
283,This is the best way to report about a problem you found,찾으신 문제를 신고하는 가장 훌륭한 방법입니다.
284,A's Cast is available for free for our listeners in Northern California. If you are outside of the region this stream may not be available.,A's Cast는 캘리포니아 북부에 계신 저희 청취자 여러분께 무료로 제공됩니다. 해당 지역 외에 계신 분들에게는 제공되지 않을 수 있습니다.
285,Learn More,더 알아보기
286,A note about A's Cast,A's Cast 관련 알림
287,New Podcasts for April,4월의 신규 팟캐스트
288,Comedy Podcasts,코메디 팟캐스트
289,NHL Game Replays,NHL 경기 재방송
290,MLB World Series Classics,MLB 월드시리즈 명경기
291,MLB Postseason Classics,MLB 포스트시즌 명경기
292,Top 5 Workout Music Stations,탑5 운동할 때 듣는 음악 방송
293,One World: Together at Home,원 월드: 모두 함께 집에 있어요
294,Digital Live Stream,디지털 라이브 방송
295,Live TV Broadcast,라이브 TV 방송
296,Music Stations to Work Out To,운동할 때 듣는 음악 방송국
297,Premium subscribers in the US: Easily link your account to the TuneIn Live Alexa Skill,미국 내 프리미엄 구독자: 손쉽게 귀하의 계정을 TuneIn Live Alexa Skill에 연결하세요
298,Fixed various playback issues,다양한 재생 문제를 수정했습니다
299,Audio Player,오디오 플레이어
300,Select between Default and experimental player,디폴트와 데모 플레이어 간에 선택해 주세요
301,TuneIn Premium is a recurring subscription. You will automatically be billed the amount listed above through iTunes at the end of the {{monthlytrial/}} day free trial period.,TuneIn Premium은 정기 구독입니다. {{monthlytrial/}}의 체험 기간 종료일에 iTunes를 통해 상기에 표기된 금액이 자동으로 청구됩니다.
302,Your subscription will auto-renew unless you cancel or turn off auto-renew at least 24 hours before the end of the current period. You can manage your subscription in iTunes.,"취소하지 않을 경우 귀하의 구독은 자동으로 갱신되오니, 원치 않을 경우 현재의 구독 기간 종료일에서 늦어도 24시간 전에 자동 갱신을 꺼 주십시오. 귀하의 구독은 iTunes에서 관리하실 수 있습니다."
303,TuneIn Premium is a recurring subscription. You will automatically be billed the amount listed above through iTunes.,TuneIn Premium은 정기 구독입니다. iTunes를 통해 상기에 표기된 금액이 자동으로 청구됩니다.
304,Favorites,즐겨찾기
305,Late Night TV Podcasts,심야 TV 팟캐스트
306,Music,음악
307,Hip Hop,힙합
308,Jazz,재즈
309,Schlager,슐라거
310,Country,컨트리
311,Classic Rock,클래식 록
312,Coronavirus News From Your Community,계신 곳의 코로나 바이러스 소식
313,Local Coverage From Your Community,계신 곳의 지역 뉴스
314,"TuneIn has a Coronavirus News channel with 24/7 coverage via local radio, as well as dedicated COVID-19 podcasts and live breaking news from top-rated networks, including MSNBC, and CNN.","TuneIn은 지역 라디오를 통한 연중무휴 24시간 보도가 가능한 코로나바이러스 뉴스 채널과 코로나-19 전문 팟캐스트 및 MSNBC, CNN을 포함한 최상위 네트워크의 실시간 뉴스를 제공합니다."
315,"New bottom navigation menu allows you to quickly access Home, Favorites & Browse pages with one tap","새로운 하단 탐색 메뉴를 통해 단 한 번의 터치로 빠르게 홈, 즐겨찾기, 검색 페이지에 접근할 수 있습니다"
316,MORE JAZZ.{0}LESS ADS.{0}GO PREMIUM.,더욱 풍성한 재즈.{0}적은 광고.{0}프리미엄으로 업그레이드하세요
317,Thanks for contacting us! What can we help you with?,문의해 주셔서 감사합니다. 무엇을 도와 드릴까요?
318,"The information below is included to help us help you. The info will only be used to help us answer your questions. For more information on how we protect your privacy, please visit:	",아래 정보는 귀하를 돕기 위해 포함된 것입니다. 본 정보는 귀하의 질문에 답변하는 데만 사용됩니다. 당사의 개인 정보 보호 방법에 관한 자세한 내용은 다음을 참고하십시오:
319,Have an Alexa? Listen with Premium!,Alexa가 있으신가요? 프리미엄으로 청취하세요!
320,"Commercial-free news from MSNBC, CNBC, Fox News Talk & more.{0}Every NFL, MLB, NBA & NHL game.{0}50+ channels of commercial-free music for every mood & activity.{0}No display or pre-roll ads.	","MSNBC, CNBC, Fox News Talk 등의 뉴스를 광고 없이 들으세요.{0}NFL, MLB, NBA, NHL 전 경기.{0}모든 기분과 활동에 어울리는 음악을 광고 없이 들을 수 있는 50개 이상의 채널.{0}디스플레이 광고, 프리롤 광고 없음."
321,THANK YOU FOR,친구가 되어 주셔서
322,BEING A FRIEND.,감사합니다.
323,ENJOY PREMIUM!,프리미엄을 즐겁게 이용하세요!
324,"Search for genres, stations, or podcasts","장르, 방송, 팟캐스트 검색"
325,"Genres, stations, or podcasts","장르, 방송 또는 팟캐스트"
326,Clear Recent Searches,최근 검색 기록 삭제
327,"Start your search for sports, music, news, podcasts and radio stations from around the world.","전 세계의 스포츠, 음악, 뉴스, 팟캐스트 및 라디오 방송국을 검색하세요."
328,What do you want to hear?,무엇을 듣고 싶으신가요?
329,Recent Searches,최근 검색
330,Sign In,로그인
331,Explore {0} Podcasts,팟캐스트 {0}개 둘러보기
332,Explore {0} Stations,{0}개 방송 둘러보기
333,Start Listening Now,지금 청취 시작
334,No ads when you press play. Every sports game live. Over 100 commercial-free news and music stations.,재생 버튼을 눌러도 광고가 나오지 않습니다. 모든 스포츠 경기를 실시간으로 즐기세요. 광고 없이 듣는 100개 이상의 뉴스 및 음악 방송.
335,Coronavirus Cancellations,코로나바이러스로 인한 취소 소식
336,Sports Documentaries,스포츠 다큐멘터리
337,Docuseries,다큐시리즈
338,Single Episode Stories,단편 스토리
339,Celebrate Jazz Appreciation Month,재즈 감상의 달 기념
340,Live CNN,실시간 CNN
341,Listen Commercial-Free,광고 없이 듣기
342,Learn A Language,외국어를 배워 보세요
